Colname,Description,Drop.Column,Reason.for.Drop
Gene,Gene name or symbol,,
GOI,Gene of Interest - whether it is one of the MGI's genes of interest,,
Localization.Simple.HPA,"Simplified categories of organelles to which encoded proteins localize according to the Human Protein Atlas, underscore delimited if there is more than one organelle in the category, or simply 'multilocalizing ",yes,redundant
Subcellular.main.location.HPA,"The main organelles to which encoded proteins localize according to the Human Protein Atlas, comma delimited if there is more than one organelle",yes,redundant
Subcellular.location.HPA,"All organelles to which an encoded protein localizes  given evidence from the Human Protein Atlas, comma separated ",,
MitoCarta3.0,"Equals 'Mitochondria' if there is evidence from MitoCarta3.0 that an encoded protein localizes to the mitochondria, NA otherwise",,
MitoCarta3.0_SubMitoLocalization,"For encoded proteins that localize to the mitochondria given evidence from MitoCarta3.0, the specific location in the mitochondria the protein localizes, if known",,
MitoCarta3.0_Evidence,"Experimental or computational sources of the evidence in MitoCarta3.0 that an encoded protein localizes to the mitochondria, comma delimited if there is more than one source of evidence",,
MitoCarta3.0_MitoPathways,"For encoded proteins localizing to the mitochondria given MitoCarta3.0 evidence, which mitochondrial pathways they are involved in, hierarchically organized with '>' delimiters",,
Gene.synonym,"Synonyms of the gene symbol, comma delimited",,
Ensembl,Ensembl ID,,
Gene.description,Gene description,,
Uniprot,Uniprot ID,,
Chromosome,Chromosome where gene is found,,
Position,Position on chromosome where gene is found,,
Protein.class,"Class of the protein that the gene codes for, e.g. enzymes, membrane proteins, transporters, disease related genes etc.",,
Biological.process,"Biological processes the gene is associated with, e.g. lipid metabolism, protein transport, etc.",,
Molecular.function,"Molecular function of the protein coded by the gene, e.g. Acetyltransferase, translocase, chaperone, etc.",,
Disease.involvement,"One or multiple diseases the gene may be involved in, according to the Human Protein Atlas",,
Evidence,"Whether organellar localization data for a given encoded protein from Human Protein Atlas is at the protein level, at the transcript level, or other",yes,redundant
HPA.evidence,"Whether organellar localization data for a given encoded protein from Human Protein Atlas is at the protein level, at the transcript level, or other",,
UniProt.evidence,,yes,redundant
NeXtProt.evidence,,yes,redundant
RNA.tissue.specificity,"Whether the gene transcript has low, enhanced, or enriched human tissue specificity according to the Human Protein Atlas given RNA sequencing",,
RNA.tissue.distribution,"Whether the gene transcript is detected in many, some, or all human tissues according to the Human Protein Atlas given RNA sequencing",,
