gene_name,pvalue,log2FoldChange,disease,cell_type
MTCO1P12,3.39117E-16,-1.601034861,ALS,iPSMN
ADGRG7,1.02999E-09,3.309285701,ALS,iPSMN
RNASEL,3.58706E-07,0.596246216,ALS,iPSMN
CHRND,1.63119E-06,-0.608888782,ALS,iPSMN
TBX5,1.79804E-06,-3.103290585,ALS,iPSMN
ZNF676,1.8528E-06,3.343800091,ALS,iPSMN
AC025171.1,1.97521E-06,-0.393706031,ALS,iPSMN
TMSB15B,3.04816E-06,-0.238420257,ALS,iPSMN
PTCHD4,3.10634E-06,0.329262711,ALS,iPSMN
NDRG2,3.163E-06,-0.197075822,ALS,iPSMN
MTCO2P12,3.81017E-06,-1.445176631,ALS,iPSMN
MYOG,4.11077E-06,-0.906008632,ALS,iPSMN
TCEAL6,4.39983E-06,0.614510757,ALS,iPSMN
TNFRSF10B,6.30406E-06,0.208239238,ALS,iPSMN
THSD1,6.40107E-06,0.253423933,ALS,iPSMN
AC120036.4,6.95443E-06,0.467763362,ALS,iPSMN
POU5F1,7.25199E-06,-1.865762112,ALS,iPSMN
ISCU,7.82696E-06,0.10300012,ALS,iPSMN
TP53TG3E,1.1401E-05,7.153526613,ALS,iPSMN
SESN1,1.19912E-05,0.171196839,ALS,iPSMN
LMO4,1.34535E-05,-0.195902446,ALS,iPSMN
RRM2B,1.34795E-05,0.202089056,ALS,iPSMN
SOD2-OT1,1.43898E-05,-0.258717015,ALS,iPSMN
DACH2,1.75093E-05,-0.471851843,ALS,iPSMN
CDKN1A,1.84203E-05,0.354237474,ALS,iPSMN
PCDH12,1.88758E-05,0.798889495,ALS,iPSMN
FOXN4,2.09439E-05,-0.824947558,ALS,iPSMN
CROCC2,2.59877E-05,-1.558207068,ALS,iPSMN
PDE8B,3.03631E-05,-0.427598211,ALS,iPSMN
OLIG2,3.26403E-05,-0.70143184,ALS,iPSMN
AC026367.3,3.78742E-05,0.483121847,ALS,iPSMN
MIR34AHG,3.89523E-05,0.373548336,ALS,iPSMN
PLIN5,4.00714E-05,-0.465074848,ALS,iPSMN
OLIG1,4.11122E-05,-0.726081111,ALS,iPSMN
RPL23AP2,4.21492E-05,1.431810451,ALS,iPSMN
AACSP1,5.0223E-05,-1.009958148,ALS,iPSMN
ABL2,5.02998E-05,0.124598356,ALS,iPSMN
AL450405.1,5.29446E-05,0.810708869,ALS,iPSMN
PAQR4,5.75678E-05,-0.142360287,ALS,iPSMN
RPL29P11,5.8184E-05,-0.941136751,ALS,iPSMN
TNNC2,6.14427E-05,-0.515709039,ALS,iPSMN
OPCML-IT1,6.18136E-05,-0.498236959,ALS,iPSMN
FBXO22,7.25686E-05,0.114435365,ALS,iPSMN
EDA2R,8.23292E-05,0.275878213,ALS,iPSMN
CACNG5,8.68189E-05,-0.508679174,ALS,iPSMN
DDX18,9.12305E-05,0.078790256,ALS,iPSMN
LNCTAM34A,9.42605E-05,0.362466228,ALS,iPSMN
ZMAT3,9.77069E-05,0.200569559,ALS,iPSMN
PRR29,9.99761E-05,-0.403460127,ALS,iPSMN
TMSB15B,0.000109775,-0.177053946,ALS,iPSMN
CD70,0.000126918,0.725140745,ALS,iPSMN
TMEM164,0.000128927,-0.170391785,ALS,iPSMN
ETV3,0.000131065,0.120022253,ALS,iPSMN
MDM2,0.000134442,0.157855579,ALS,iPSMN
ABCD2,0.000139332,-0.344030266,ALS,iPSMN
AL683807.1,0.000147157,0.475434448,ALS,iPSMN
ARMH4,0.000150628,-0.142951729,ALS,iPSMN
DINOL,0.000162089,0.446234293,ALS,iPSMN
LINC00475,0.000165173,0.582949188,ALS,iPSMN
TRIAP1,0.00016535,0.115961896,ALS,iPSMN
HAND2-AS1,0.000171426,1.00837282,ALS,iPSMN
FAM66B,0.000171577,0.459758244,ALS,iPSMN
MAFF,0.000179009,0.201495646,ALS,iPSMN
RAB3GAP2,0.000179394,0.078208935,ALS,iPSMN
CACNA1D,0.000186742,-0.293916365,ALS,iPSMN
AC027644.4,0.000190988,0.519745996,ALS,iPSMN
WDR13,0.000192271,-0.109133712,ALS,iPSMN
ZNF442,0.000196278,0.15556458,ALS,iPSMN
C11orf49,0.000203127,-0.091766831,ALS,iPSMN
CTNNBIP1,0.000214592,-0.122637478,ALS,iPSMN
TUFT1,0.000216839,0.155412485,ALS,iPSMN
NPPC,0.000221585,0.26669347,ALS,iPSMN
AC025423.2,0.000224493,0.191380688,ALS,iPSMN
